fromNode,toNode,relType
1,2,OWNED_BY
1,3,FEEDS_DATA
3,4,OR_OWNED_BY
3,7,FEEDS_DATA
3,6,FEEDS_DATA
3,5,OR_OWNED_BY
6,10,FEEDS_DATA
10,9,IS_IN
9,6,FEEDS_DATA
10,11,NEEDS_ASSOCIATED
11,10,NEEDS_ASSOCIATED
11,12,NEEDS_ASSOCIATED
12,11,NEEDS_ASSOCIATED
20,11,CONTEXTUALIZES
21,11,CONTEXTUALIZES
10,13,FEEDS_DATA
10,15,NEEDS_ASSOCIATED
15,10,NEEDS_ASSOCIATED
16,15,FEEDS_DATA
16,14,FEEDS_DATA
16,19,FEEDS_DATA
19,15,CONTEXTUALIZES
16,17,OWNED_BY
18,16,FEEDS_DATA
7,11,FEEDS_DATA
7,4,OWNED_BY
13,5,OWNED_BY
10,16,FEEDS_DATA
14,15,CONTEXTUALIZES
